,Description
161,ready for everyday  these women s shoes bring running inspired style to active feet  they have a mesh upper accented by contrast 3 stripes  the eva midsole and outsole provide support to their every step 
162,the adidas hyperon running shoes for women with new design pattern for any runner looking for trendy yet extremely comfortable running shoe  an excellent combination of breathable mesh with synthetic overlays on the upper makes it very comfortable for your feet on the run  durable  non slippery  blown out one piece super grip eva midsole and outsole ensures maximum stability and grip on the ground 
163,proof that minimalism can be bold  these shoes put an innovative spin on adidas running heritage of the  80s  the mesh upper is covered in stretchy webbing that provides support and hugs the foot  inside  zoned cushioning gives a soft  comfortable step in feel 
164,archival details  meet progressive design  these women s shoes feature an adidas primeknit upper with sock like construction for a snug  lightweight fit  a sleek silhouette sets off stripes on the front and patterning at the heel 
165,40 years in the making  the supercourt is here to freshen up your style with a clean court look inspired by four decades of adidas tennis greatness  this version of the shoes is made of premium leather with a quilted pattern  because you re fancy like that 
166,reviving the  90s era  point of deflection  cushioning system  these shoes feature a three part midsole that includes ultra responsive boost at the heel for endless energy  they re built to hug the foot with a mix of lightweight open and closed mesh  bungee straps at the laces and heel add to the technical feel  the translucent tpu bridge comes with a heat map graphic to call out a key part of the p o d  system 
167,since it first hit the courts in the early  70s  the stan smith has become legendary for its timeless style  these shoes pay tribute to the iconic design by preserving the low profile cupsole and perforated 3 stripes  a pop of color at the heel tab completes the look 
168,these nmd shoes blend heritage with innovation for a fresh design  the one piece adidas primeknit upper features an engineered pattern that creates a dynamic colour contrast effect  a boost midsole energises every step 
169,the swift distills decades of adidas heritage running designs  made for casual everyday wear  these lightweight knit shoes come with a sleek shape and a supportive yet flexible feel  they stand out with embroidered accents and smooth welded details  an eva midsole adds all day wearability 
170,ready for everyday  these women s shoes bring running inspired style to active feet  they have a mesh upper accented by contrast 3 stripes  the eva midsole and outsole provide support to their every step 
171,the out loud collection celebrates those who live life on their own terms  these shoes give the classic samba sneaker a fresh look with a zip cover over the laces  a textile upper rides on a trendy platform sole for a little extra height 
172,these men s running shoes keep you comfortable so you stay focused on your goals  they feature a textile mesh upper along with cloudfoam midsole provides optimum cushioning where you need it most and durable rubber outsole for long lasting wear 
173,steeped in nostalgia  the continental 80 captures the retro look of indoor sneakers from the early 1980s  made in soft nubuck  these shoes feature a swooping two tone stripe and a distinctive split rubber cupsole that s built for a comfortable  flexible feel 
